subject_id,channel_index,chromophore,hrf_peak_s,beta_main,beta_comfort,beta_richness
P40,1,HbO,5,-2.0438011218832348e-4,-0.007957162874178799,-0.003837680658765225
P40,1,HbR,5,-6.719185950894588e-4,0.0013411706039667248,-0.0037984999432545317
P40,2,HbO,5,-0.0019776491664538825,-0.012204561010531587,-0.00870641715361915
P40,2,HbR,5,8.315513297155833e-4,0.007634783052618944,0.001522983413934082
P40,3,HbO,5,0.001749257131727268,-0.002635287056332411,-0.0012633223571501448
P40,3,HbR,5,-0.0010956917296868545,0.001744712939957585,-0.0026281550509593705
P40,4,HbO,5,3.8975303742574643e-4,0.00471468211519857,-0.0021659730522328876
P40,4,HbR,5,4.2279662255400186e-4,2.3697843709309988e-4,0.0029238059900639013
P40,5,HbO,5,-3.7408326799027975e-4,9.784916712439395e-4,-0.001300039224883258
P40,5,HbR,5,-0.0010917834451016643,0.0018511932086716651,-3.6596239995391103e-4
P40,7,HbO,5,-0.0023305917268341227,-0.001163879142480325,-0.008081589843078621
P40,7,HbR,5,-7.450769415451055e-4,-8.66961766945976e-4,-0.002438804868278071
P40,8,HbO,5,-0.0023272891652262396,0.00574640435119402,0.0036991394642050006
P40,8,HbR,5,-0.0012832185042617197,0.0026905232015561695,0.0010922871734083705
P40,9,HbO,5,-0.004246856373301131,0.0027167015045260986,-0.0019027366542675153
P40,9,HbR,5,-1.1618525713798461e-4,-6.495328434007015e-4,4.714004524290644e-4
P40,10,HbO,5,-0.0036402076662177406,-9.889747827535043e-4,-0.006299262233358946
P40,10,HbR,5,-6.892933774760134e-4,-6.622256622133687e-4,-4.8583494969389274e-4
P40,11,HbO,5,-1.6945818891737124e-4,0.002444954951674544,-9.479734938055264e-5
P40,11,HbR,5,-0.002537383517328095,-0.0018719762734053646,-3.6765158315317926e-4
P40,12,HbO,5,-6.899023447134478e-4,0.0032666445403830863,-0.005205919208647162
P40,12,HbR,5,-2.4497232967844626e-4,9.933574136972855e-4,0.0019109332837830147
P40,14,HbO,5,-0.0026613943255689174,-0.00273884652705367,-0.0047363789364280534
P40,14,HbR,5,-3.537959570899699e-4,0.0028162326767010035,0.0019386715249333298
P40,15,HbO,5,-0.0012688693759072987,-0.0027512600078655426,-0.004116547245830067
P40,15,HbR,5,1.860255784550458e-4,0.004702004487257383,-0.0012046765354608619
P40,16,HbO,5,-6.717048873167838e-4,-0.0022057545706748176,-0.0015653501618770299
P40,16,HbR,5,7.711111991624703e-5,4.192717888102931e-4,-0.0013090106728016263
