clip_id,sr,bits,rms_db,spec_centroid_hz,spec_flux,lowfreq_ratio
1_Q1_2_csZRN19_01,48000,16,-19.930636936728106,2650.529494303775,0.1138525934341332,0.938784673904444
2_Q2_1_cq09,48000,32,-17.40273190382622,1722.1075510336989,0.05575246024540889,0.576174482689862
3_Q3_2_3-D-JS05_01,51200,16,-12.926445227884521,1406.0773518292015,0.06547159579194574,0.9726304430538233
4_Q4_2_wdt16_01,51200,16,-22.88722265548052,1690.9751318433644,0.14301961955901718,0.9789562569054494
1_Q1_3_ll07,48000,32,-15.20529453734352,1711.374888299924,0.08624749620159886,0.8466933212608495
2_Q2_2_jn10,48000,32,-17.028276931817697,1648.5430706383004,0.07083769945942787,0.7755540383681279
3_Q3_3_1-C-ZJY01,48000,16,-17.93396457387199,2231.615015785755,0.054309883094798415,0.7416336225878499
4_Q4_1_cq69,48000,32,-12.808759146524215,936.5325689263967,0.0976943283506402,0.9154498064668452
1_Q1_4_wh29,48000,32,-17.257932617187425,834.2578029437915,0.14420418309904892,0.9744652251360073
2_Q2_4_GZ01,48000,32,-21.59657172502743,1783.4121782582138,0.06411780606508148,0.3995285661225568
3_Q3_4_wdt02_01,51200,16,-22.28112797365863,2371.2131853591322,0.06234762428833372,0.8033427767526428
4_Q4_2_resta_wdt16_01,51200,16,-22.88722265548052,1690.9751318433644,0.14301961955901718,0.9789562569054494
1_Q1_5_wz07,48000,32,-15.328008169809488,2027.4748682245222,0.10026406070252959,0.9250890542442931
2_Q2_6_wh05,48000,32,-16.762322818217772,2701.8651419706607,0.04759130486448487,0.571937956299097
3_Q3_5_3-A-CL05_01,51200,16,-20.03836137972844,1697.565935075858,0.08297633275948127,0.8599672046200935
4_Q4_3_wh13,48000,32,-14.611476991624222,1171.4818906856676,0.09742714937792359,0.908654471468425
