cycle_position,bin,bin_lo,n_events,mean,se,bin_mid
follows a 90-s cycle,"[-10,-5)",-10,619,0.055431632259788165,0.005718820148446714,-7.5
follows a 90-s cycle,"[-5,0)",-5,619,0.06213416809420747,0.006219649097775166,-2.5
follows a 90-s cycle,"[0,5)",0,619,0.059872712675982764,0.006311175882951648,2.5
follows a 90-s cycle,"[5,10)",5,619,0.027158768030273582,0.005780476220994925,7.5
follows a 90-s cycle,"[10,15)",10,619,-0.014419701559758191,0.005114233111866146,12.5
follows a 90-s cycle,"[15,20)",15,619,-0.03727832330305378,0.005436430344618252,17.5
follows a 90-s cycle,"[20,25)",20,619,-0.05439792029526786,0.005438535453721942,22.5
follows a 90-s cycle,"[25,30)",25,619,-0.066868168807987,0.005806412783551573,27.5
follows a 90-s cycle,"[30,35)",30,619,-0.08412080304696701,0.006048516067029276,32.5
follows a 90-s cycle,"[35,40)",35,619,-0.06493607646116882,0.005528002305694737,37.5
follows a 90-s cycle,"[40,45)",40,619,-0.03064997937468339,0.00557473712564528,42.5
follows a 90-s cycle,"[45,50)",45,619,-0.008739389473961542,0.005424627701067134,47.5
follows a 90-s cycle,"[50,55)",50,619,0.008487207390380573,0.005734104485267626,52.5
follows a 90-s cycle,"[55,60)",55,619,0.013031666810948297,0.005792778376597906,57.5
follows a 90-s cycle,"[60,65)",60,601,0.023057426167466834,0.00591724057269998,62.5
follows a 90-s cycle,"[65,70)",65,551,0.02895042889983472,0.006224521641344373,67.5
follows a 90-s cycle,"[70,75)",70,551,0.03152956365408516,0.00631922577963358,72.5
follows a 90-s cycle,"[75,80)",75,551,0.04200522962304588,0.006000558976390899,77.5
follows a 90-s cycle,"[80,85)",80,551,0.05351179594099685,0.0064854266416727565,82.5
follows a 90-s cycle,"[85,90)",85,551,0.05588201782620626,0.006684660242365394,87.5
opens a run,"[-10,-5)",-10,207,-9.17214937889345e-4,0.01040065726758039,-7.5
opens a run,"[-5,0)",-5,207,0.039241974191889885,0.011109908132724947,-2.5
opens a run,"[0,5)",0,207,0.056175431471508386,0.010649168764277548,2.5
opens a run,"[5,10)",5,207,0.03738722821261979,0.01026800813394567,7.5
opens a run,"[10,15)",10,207,0.0196361450969438,0.008246502442082736,12.5
opens a run,"[15,20)",15,207,0.0040125786590222935,0.007953059112116759,17.5
opens a run,"[20,25)",20,207,-0.03055387163876848,0.008312513958626241,22.5
opens a run,"[25,30)",25,207,-0.05073628481026336,0.01007923792296351,27.5
opens a run,"[30,35)",30,207,-0.08592035115126273,0.010752175366332793,32.5
opens a run,"[35,40)",35,207,-0.08677186857942433,0.010503152854996412,37.5
opens a run,"[40,45)",40,207,-0.044706135416280365,0.009180091408154673,42.5
opens a run,"[45,50)",45,207,-0.02587030011195211,0.009286461801955269,47.5
opens a run,"[50,55)",50,207,0.00919006216125698,0.009879778173673444,52.5
opens a run,"[55,60)",55,207,0.033607952115782436,0.009423949733731772,57.5
opens a run,"[60,65)",60,207,0.05394841728960327,0.011177736002878753,62.5
opens a run,"[65,70)",65,207,0.03439105810419914,0.010499943813087808,67.5
opens a run,"[70,75)",70,207,0.03381977781769586,0.009240175037921088,72.5
opens a run,"[75,80)",75,207,0.052248878694290804,0.009201145582837121,77.5
opens a run,"[80,85)",80,207,0.047206640609586584,0.010439429083844445,82.5
opens a run,"[85,90)",85,207,0.05404712450615832,0.011297241843171334,87.5
