time_s,intensity_760nm,intensity_850nm
0.0000,0.013125403,0.013119382
1.0000,0.013124842,0.013120023
2.0000,0.013129316,0.013123337
3.0000,0.013125429,0.013120417
4.0000,0.013124679,0.013118892
5.0000,0.01312953,0.01312448
6.0000,0.013129469,0.013124958
7.0000,0.01312951,0.013123341
8.0000,0.013125475,0.013121155
9.0000,0.01312487,0.013119763
10.0000,0.013124897,0.013120191
11.0000,0.013129476,0.013124369
12.0000,0.013125023,0.013120749
13.0000,0.013125007,0.013120131
14.0000,0.01312548,0.013118889
15.0000,0.013124897,0.013122348
16.0000,0.013129846,0.013123776
17.0000,0.013129967,0.013124094
18.0000,0.013124861,0.013119369
19.0000,0.013130052,0.01312465
20.0000,0.01313001,0.013124309
21.0000,0.013129958,0.01312364
22.0000,0.013129598,0.013123792
23.0000,0.013129497,0.013122861
24.0000,0.013124927,0.013120218
25.0000,0.013129897,0.013122839
26.0000,0.013124874,0.013119613
27.0000,0.013129687,0.013125909
28.0000,0.013125191,0.013120329
29.0000,0.013125481,0.013120763
30.0000,0.01312477,0.013119984
31.0000,0.013124664,0.013121799
32.0000,0.013125321,0.013120404
33.0000,0.013125611,0.013118879
34.0000,0.013124983,0.01312039
35.0000,0.013124885,0.01311959
36.0000,0.013129479,0.013124391
37.0000,0.01312953,0.013124628
38.0000,0.013124846,0.013120481
39.0000,0.013125348,0.013120884
40.0000,0.01312943,0.013123792
41.0000,0.013130085,0.013123565
42.0000,0.013130078,0.01312396
43.0000,0.013130064,0.013124069
44.0000,0.013130093,0.013123883
45.0000,0.013125137,0.013119741
46.0000,0.013125638,0.013118664
47.0000,0.013125444,0.01312096
48.0000,0.013129588,0.01312381
49.0000,0.013125631,0.013120559
50.0000,0.013125043,0.013120284
51.0000,0.013125374,0.013119936
52.0000,0.013125596,0.013120512
53.0000,0.013125563,0.013120386
54.0000,0.013130219,0.013124369
55.0000,0.013129922,0.013124673
56.0000,0.013130208,0.013123835
57.0000,0.013129668,0.013122716
58.0000,0.013130086,0.013122572
59.0000,0.013125505,0.013119614
60.0000,0.013124596,0.013120842
61.0000,0.013129969,0.013124906
62.0000,0.013130163,0.013123744
63.0000,0.013125658,0.013118979
64.0000,0.013125625,0.013120475
65.0000,0.013129756,0.013123734
66.0000,0.013124883,0.013121144
67.0000,0.013125028,0.013118907
68.0000,0.013125521,0.013120622
69.0000,0.013125563,0.013120336
70.0000,0.01313022,0.013125212
71.0000,0.013129551,0.013124357
72.0000,0.013129744,0.01312427
73.0000,0.013125491,0.013119657
74.0000,0.013125187,0.013119601
75.0000,0.013129417,0.013124986
76.0000,0.013129628,0.013123578
77.0000,0.013130086,0.013123983
78.0000,0.013125351,0.013119825
79.0000,0.013125387,0.013120835
80.0000,0.013130384,0.013124365
81.0000,0.013129705,0.013123241
82.0000,0.013125241,0.013120734
83.0000,0.013125389,0.013121024
84.0000,0.013125529,0.013120276
85.0000,0.013130207,0.013124372
86.0000,0.013129664,0.013123942
87.0000,0.013129893,0.013125176
88.0000,0.013129395,0.013123659
89.0000,0.013125587,0.013119983
90.0000,0.013129633,0.013123849
91.0000,0.013130493,0.013123367
92.0000,0.0131303,0.013122061
93.0000,0.013125086,0.013119522
94.0000,0.013129609,0.013123776
95.0000,0.013125079,0.013120148
96.0000,0.013125494,0.013120065
97.0000,0.013129732,0.013124497
98.0000,0.013124847,0.013121142
99.0000,0.013125452,0.013120753
100.0000,0.013130193,0.013122949
101.0000,0.013125287,0.013120878
102.0000,0.013124898,0.013119705
103.0000,0.013125132,0.0131201
104.0000,0.013130266,0.013123994
105.0000,0.013129784,0.013124299
106.0000,0.013125055,0.013120608
107.0000,0.013125355,0.013120631
108.0000,0.013130592,0.013121837
109.0000,0.013129595,0.013123335
110.0000,0.013129995,0.0131241
111.0000,0.013125625,0.013120399
