time_s,intensity_760nm,intensity_850nm
0.0000,0.54940605,0.82168001
1.0000,0.55077255,0.82182574
2.0000,0.54773408,0.81435102
3.0000,0.54879469,0.81769103
4.0000,0.55282444,0.82621115
5.0000,0.53992432,0.80056125
6.0000,0.54177463,0.80293828
7.0000,0.53779262,0.79256469
8.0000,0.54179907,0.79925698
9.0000,0.54228765,0.7990182
10.0000,0.5450716,0.80157298
11.0000,0.5414511,0.79039538
12.0000,0.53856349,0.78319722
13.0000,0.53694624,0.77450049
14.0000,0.54196781,0.78217101
15.0000,0.54158604,0.78428465
16.0000,0.54508871,0.79886651
17.0000,0.5504024,0.82027751
18.0000,0.54289365,0.80933642
19.0000,0.53934485,0.80167311
20.0000,0.5444746,0.81280333
21.0000,0.54698777,0.81605506
22.0000,0.5513044,0.82025385
23.0000,0.54567945,0.80201143
24.0000,0.5450325,0.79761696
25.0000,0.54069638,0.78418511
26.0000,0.54241753,0.78653753
27.0000,0.54624063,0.79740351
28.0000,0.54656678,0.80326223
29.0000,0.54145777,0.8002072
30.0000,0.53296417,0.78037488
31.0000,0.537669,0.78475863
32.0000,0.54747391,0.8026945
33.0000,0.54058254,0.78762776
34.0000,0.535586,0.77521789
35.0000,0.53631437,0.77838343
36.0000,0.54230291,0.79279107
37.0000,0.54690331,0.8043189
38.0000,0.54731244,0.8069858
39.0000,0.54307497,0.80138969
40.0000,0.54009521,0.79549104
41.0000,0.54182839,0.79736656
42.0000,0.54845339,0.81056345
43.0000,0.54458058,0.80285817
44.0000,0.53936964,0.78940976
45.0000,0.53702146,0.77762377
46.0000,0.54104495,0.78276533
47.0000,0.53536034,0.76895332
48.0000,0.53012413,0.75625426
49.0000,0.53157151,0.75811291
50.0000,0.53850967,0.77701277
51.0000,0.53892881,0.78353232
52.0000,0.52730507,0.76679265
53.0000,0.52926379,0.77550083
54.0000,0.53705299,0.794523
55.0000,0.54055095,0.80101275
56.0000,0.53261489,0.78539556
57.0000,0.5325107,0.78279656
58.0000,0.54036695,0.79760134
59.0000,0.53771657,0.78894448
60.0000,0.52739471,0.76317495
61.0000,0.53501987,0.77463734
62.0000,0.54414588,0.79177451
63.0000,0.53200328,0.76763988
64.0000,0.53062993,0.76272005
65.0000,0.53888744,0.77455044
66.0000,0.535963,0.76760554
67.0000,0.5323863,0.76000088
68.0000,0.53872472,0.77109998
69.0000,0.54508603,0.78404003
70.0000,0.54986632,0.79697198
71.0000,0.54289514,0.7852639
72.0000,0.53770536,0.77636421
73.0000,0.54318076,0.78690475
74.0000,0.55051416,0.80354625
75.0000,0.54527783,0.79599553
76.0000,0.54196596,0.7873435
77.0000,0.54734933,0.79270858
78.0000,0.55326235,0.80055732
79.0000,0.55026388,0.79575318
80.0000,0.54521018,0.78591168
81.0000,0.5489049,0.79369843
82.0000,0.5532403,0.80897838
83.0000,0.55923557,0.83264118
84.0000,0.54781419,0.81861567
85.0000,0.55147475,0.82659823
86.0000,0.55815125,0.83866078
87.0000,0.55406898,0.82793164
88.0000,0.55152661,0.82019222
89.0000,0.5595746,0.83379132
90.0000,0.56877214,0.85163248
91.0000,0.566679,0.84450847
92.0000,0.55520421,0.82089508
93.0000,0.56061864,0.83340311
94.0000,0.56578892,0.84535271
95.0000,0.56088626,0.83814847
96.0000,0.56162518,0.83319414
97.0000,0.56596118,0.8421542
98.0000,0.55480552,0.81580412
99.0000,0.55832869,0.82147259
100.0000,0.55163068,0.80521721
101.0000,0.55417335,0.81017232
102.0000,0.55401212,0.81551129
103.0000,0.55882186,0.83352387
104.0000,0.56245029,0.84996039
105.0000,0.56032795,0.8496604
106.0000,0.56095999,0.85494322
107.0000,0.54870087,0.83154106
108.0000,0.54478514,0.82121336
109.0000,0.53703463,0.79985785
110.0000,0.53277051,0.7868104
111.0000,0.52944088,0.77595478
112.0000,0.52567536,0.76787078
113.0000,0.52364069,0.76240957
114.0000,0.52169627,0.75805616
115.0000,0.51686674,0.74855685
116.0000,0.51585972,0.74724078
117.0000,0.51784748,0.75057507
118.0000,0.51581854,0.74399954
119.0000,0.51534867,0.74177319
120.0000,0.51238787,0.73519516
121.0000,0.51483905,0.73897153
122.0000,0.50204664,0.71158212
123.0000,0.500934,0.70858443
124.0000,0.50101221,0.7120021
125.0000,0.5052433,0.72356737
126.0000,0.51183289,0.73462725
