time_s,intensity_760nm,intensity_850nm
325.0000,0.53279716,0.75411338
325.1000,0.53279716,0.75411338
325.2000,0.53434867,0.75699097
325.3000,0.53434867,0.75699097
325.4000,0.52140254,0.73205942
325.5000,0.52140254,0.73205942
325.6000,0.52352673,0.73540044
325.7000,0.52844518,0.74394035
325.8000,0.52844518,0.74394035
325.9000,0.53391969,0.75464159
326.0000,0.53391969,0.75464159
326.1000,0.53805125,0.76352316
326.2000,0.53805125,0.76352316
326.3000,0.52190357,0.73171777
326.4000,0.52190357,0.73171777
326.5000,0.52264583,0.73210829
326.6000,0.52264583,0.73210829
326.7000,0.52678967,0.7393018
326.8000,0.53155702,0.74797577
326.9000,0.53647661,0.75852156
327.0000,0.53647661,0.75852156
327.1000,0.5246166,0.73469704
327.2000,0.5246166,0.73469704
327.3000,0.52133536,0.72812599
327.4000,0.52133536,0.72812599
327.5000,0.52525026,0.73438305
327.6000,0.52525026,0.73438305
327.7000,0.53039843,0.74384928
327.8000,0.53039843,0.74384928
327.9000,0.53489393,0.75315821
328.0000,0.52864182,0.74014008
328.1000,0.52205825,0.72764677
328.2000,0.52205825,0.72764677
328.3000,0.52523565,0.73335737
328.4000,0.52523565,0.73335737
328.5000,0.53021705,0.74320543
328.6000,0.53021705,0.74320543
328.7000,0.53549349,0.75350279
328.8000,0.53549349,0.75350279
328.9000,0.53077853,0.74500686
329.0000,0.53077853,0.74500686
329.1000,0.52453649,0.73310888
329.2000,0.52719635,0.73717892
329.3000,0.52719635,0.73717892
329.4000,0.53176415,0.74606276
329.5000,0.53653646,0.75514531
329.6000,0.53653646,0.75514531
329.7000,0.52927214,0.74238944
329.8000,0.52927214,0.74238944
329.9000,0.52486187,0.73320788
330.0000,0.52486187,0.73320788
330.1000,0.52836913,0.73891592
330.2000,0.52836913,0.73891592
330.3000,0.53290462,0.74772048
330.4000,0.53731525,0.7569685
330.5000,0.53731525,0.7569685
330.6000,0.52665591,0.73649704
330.7000,0.52665591,0.73649704
330.8000,0.52268803,0.7278071
330.9000,0.52623248,0.73333025
331.0000,0.52623248,0.73333025
331.1000,0.53119451,0.74248815
331.2000,0.53119451,0.74248815
331.3000,0.53578073,0.7522366
331.4000,0.52719748,0.73588938
331.5000,0.52719748,0.73588938
331.6000,0.52719748,0.73588938
331.7000,0.5212189,0.72411424
331.8000,0.52448064,0.72934085
331.9000,0.52448064,0.72934085
332.0000,0.52973133,0.73914498
332.1000,0.53477705,0.74888158
332.2000,0.53477705,0.74888158
332.3000,0.53289914,0.74667197
332.4000,0.53289914,0.74667197
332.5000,0.52166849,0.72558087
332.6000,0.52166849,0.72558087
332.7000,0.52471977,0.73194581
332.8000,0.52471977,0.73194581
332.9000,0.52974063,0.74169677
333.0000,0.53433526,0.75159514
333.1000,0.53433526,0.75159514
333.2000,0.53378844,0.7511552
333.3000,0.53378844,0.7511552
333.4000,0.52396923,0.73341626
333.5000,0.52673262,0.73824006
333.6000,0.52673262,0.73824006
333.7000,0.53125882,0.74795794
333.8000,0.53125882,0.74795794
333.9000,0.53602374,0.75822252
334.0000,0.5284574,0.74381751
334.1000,0.5284574,0.74381751
334.2000,0.5284574,0.74381751
334.3000,0.52474183,0.73675716
334.4000,0.52474183,0.73675716
334.5000,0.52871317,0.74321532
334.6000,0.53327763,0.75303096
334.7000,0.53327763,0.75303096
334.8000,0.53867275,0.76449847
334.9000,0.53380424,0.75508052
