time_s,intensity_760nm,intensity_850nm
0.0000,0.53503036,1
1.0000,0.52924585,1
2.0000,0.5240106,1
3.0000,0.5230484,1
4.0000,0.53026158,1
5.0000,0.53039867,1
6.0000,0.53149331,1
7.0000,0.53845596,1
8.0000,0.53445584,1
9.0000,0.53300411,1
10.0000,0.53757691,1
11.0000,0.5323872,1
12.0000,0.52922028,1
13.0000,0.53293115,1
14.0000,0.5335964,1
15.0000,0.53907067,1
16.0000,0.53978235,1
17.0000,0.53555137,1
18.0000,0.53444576,1
19.0000,0.53187734,1
20.0000,0.53980768,1
21.0000,0.53336704,1
22.0000,0.53480041,1
23.0000,0.52788109,1
24.0000,0.5282222,1
25.0000,0.53337646,1
26.0000,0.52700943,1
27.0000,0.53178018,1
28.0000,0.52774733,1
29.0000,0.52415353,1
30.0000,0.53203136,1
31.0000,0.52494586,1
32.0000,0.52598429,1
33.0000,0.534872,1
34.0000,0.52674633,1
35.0000,0.53225297,1
36.0000,0.5263564,1
37.0000,0.52795178,1
38.0000,0.53633559,1
39.0000,0.52991056,1
40.0000,0.53076088,1
41.0000,0.53044897,1
42.0000,0.52815849,1
43.0000,0.53259039,1
44.0000,0.52742445,1
45.0000,0.52992976,1
46.0000,0.5381211,1
47.0000,0.5306406,1
48.0000,0.53321379,1
49.0000,0.52866817,1
50.0000,0.52630961,1
51.0000,0.53262413,1
52.0000,0.52623922,1
53.0000,0.5290727,1
54.0000,0.53806096,1
55.0000,0.53263348,1
56.0000,0.53393883,1
57.0000,0.53062332,1
58.0000,0.52854455,1
59.0000,0.53609473,1
60.0000,0.53017795,1
61.0000,0.53763074,1
62.0000,0.52942318,1
63.0000,0.53591102,1
64.0000,0.53910285,1
65.0000,0.53703547,1
66.0000,0.53903168,1
67.0000,0.54090583,1
68.0000,0.54817998,1
69.0000,0.54722273,1
70.0000,0.55323106,1
71.0000,0.54916155,1
72.0000,0.54961389,1
73.0000,0.55242479,1
74.0000,0.56042236,1
75.0000,0.55761266,1
76.0000,0.56388891,1
77.0000,0.55555314,1
78.0000,0.55300611,1
79.0000,0.55435598,1
80.0000,0.56340128,1
81.0000,0.55441415,1
82.0000,0.55794245,1
83.0000,0.56599355,1
84.0000,0.56100398,1
85.0000,0.56529689,1
86.0000,0.55624419,1
