subject_id,date,detector,bin_start_s,frac_dark
P01,2024-09-27,6,0.0,0.0
P01,2024-09-27,6,5.0,0.0
P01,2024-09-27,6,10.0,0.0
P01,2024-09-27,6,15.0,0.0
P01,2024-09-27,6,20.0,0.0
P01,2024-09-27,6,25.0,0.0
P01,2024-09-27,6,30.0,0.0
P01,2024-09-27,6,35.0,0.0
P01,2024-09-27,6,40.0,0.0
P01,2024-09-27,6,45.0,0.0
P01,2024-09-27,6,50.0,0.0
P01,2024-09-27,6,55.0,0.0
P01,2024-09-27,6,60.0,0.0
P01,2024-09-27,6,65.0,0.0
P01,2024-09-27,6,70.0,0.0
P01,2024-09-27,6,75.0,0.0
P01,2024-09-27,6,80.0,0.0
P01,2024-09-27,6,85.0,0.0
P01,2024-09-27,6,90.0,0.0
P01,2024-09-27,6,95.0,0.0
P01,2024-09-27,6,100.0,0.0
P01,2024-09-27,6,105.0,0.0
P01,2024-09-27,6,110.0,0.0
P01,2024-09-27,6,115.0,0.0
P01,2024-09-27,6,120.0,0.0
P01,2024-09-27,6,125.0,0.0
P01,2024-09-27,6,130.0,0.0
P01,2024-09-27,6,135.0,0.0
P01,2024-09-27,6,140.0,0.0
P01,2024-09-27,6,145.0,0.0
P01,2024-09-27,6,150.0,0.0
P01,2024-09-27,6,155.0,0.0
P01,2024-09-27,6,160.0,0.0
P01,2024-09-27,6,165.0,0.0
P01,2024-09-27,6,170.0,0.0
P01,2024-09-27,6,175.0,0.0
P01,2024-09-27,6,180.0,0.0
P01,2024-09-27,6,185.0,0.0
P01,2024-09-27,6,190.0,0.0
P01,2024-09-27,6,195.0,0.0
P01,2024-09-27,6,200.0,0.0
P01,2024-09-27,6,205.0,0.0
P01,2024-09-27,6,210.0,0.0
P01,2024-09-27,6,215.0,0.0
P01,2024-09-27,6,220.0,0.0
P01,2024-09-27,6,225.0,0.0
P01,2024-09-27,6,230.0,0.0
P01,2024-09-27,6,235.0,0.0
P01,2024-09-27,6,240.0,0.0
P01,2024-09-27,6,245.0,0.0
P01,2024-09-27,6,250.0,0.0
P01,2024-09-27,6,255.0,0.0
P01,2024-09-27,6,260.0,0.0
P01,2024-09-27,6,265.0,0.0
P01,2024-09-27,6,270.0,0.0
P01,2024-09-27,6,275.0,0.0
P01,2024-09-27,6,280.0,0.0
P01,2024-09-27,6,285.0,0.0
P01,2024-09-27,6,290.0,0.0
P01,2024-09-27,6,295.0,0.0
P01,2024-09-27,6,300.0,0.0
