subject_id,rest1_start_s,rest1_end_s,rest2_start_s,rest2_end_s
P01,330.0,480.2,750.6,900.2
P02,329.1,479.5,748.1,897.1
P03,329.3,481.8,752.2,899.7
P04,329.8,479.5,749.3,899.3
P05,330.3,481.7,751.5,900.2
P06,329.7,482.3,749.6,898.2
P07,331.4,480.1,750.0,900.4
P08,328.3,478.2,748.9,899.8
P09,329.3,480.0,750.3,899.3
P10,330.0,479.8,749.9,900.0
P11,330.4,480.2,750.2,900.4
P13,330.0,479.1,750.4,901.1
P15,329.1,478.8,750.6,899.1
P16,330.6,482.2,749.9,899.9
P17,330.2,480.1,749.6,900.1
P18,331.3,483.5,776.2,902.7
P19,328.5,478.6,748.0,899.1
P20,330.5,479.3,750.4,898.6
P21,330.2,481.2,751.4,901.5
P22,329.4,478.9,748.7,900.7
P23,328.7,477.4,749.1,898.8
P24,329.7,478.7,750.3,899.9
P25,329.2,479.1,749.0,898.4
P26,330.1,478.7,749.3,898.9
P27,330.2,480.3,750.3,900.2
P28,329.5,479.8,749.6,901.4
P29,329.1,479.8,749.0,898.7
P30,329.3,480.9,751.2,904.6
P31,330.1,480.3,750.2,899.4
P32,328.7,477.3,748.9,897.1
P33,329.3,479.9,749.5,899.4
P34,329.2,479.3,750.6,898.6
P35,327.7,479.5,750.5,899.7
P36,329.9,480.8,749.4,901.2
P37,330.3,482.1,751.1,900.8
P38,328.4,479.0,748.8,898.4
P39,330.3,478.9,749.2,899.6
P40,331.1,483.4,753.5,905.9
P41,329.9,478.8,749.4,899.2
P42,330.2,480.7,749.9,900.7
P43,329.4,482.1,752.0,900.4
P44,331.3,482.4,751.4,901.6
P45,329.4,479.4,749.3,902.8
P46,330.2,480.1,749.4,899.4
P47,329.5,480.8,749.0,899.5
P48,330.3,477.3,749.0,898.7
P49,329.5,480.2,750.7,900.0
P50,329.0,478.4,748.5,900.9
P51,329.7,480.3,750.5,900.2
P52,329.9,478.8,750.4,899.9
P53,327.5,482.8,750.3,897.5
P54,331.2,479.8,750.2,898.9
P55,330.1,479.9,750.4,900.1
P56,330.2,480.1,750.2,900.3
P57,328.4,480.0,752.3,900.7
P58,329.5,480.1,750.2,899.7
P59,330.0,479.1,750.5,900.1
P60,330.4,478.8,749.8,900.2
P61,330.7,477.1,749.9,898.9
P62,330.4,479.1,748.9,899.0
P63,332.1,481.5,751.6,900.1
P64,330.0,479.1,748.7,901.3
P65,330.2,479.4,749.3,898.8
P66,331.1,479.3,750.2,900.0
P67,330.2,480.0,750.2,900.0
P68,329.0,479.2,749.2,898.3
P69,330.2,478.3,750.4,900.9
