subject_id,n_active_mine,n_active_delivered,n_disagreements
P40,21,21,0
P18,21,21,0
P44,21,21,0
P21,21,21,0
P11,21,21,0
P03,20,20,0
P43,21,21,0
P12,12,12,0
P57,21,21,0
P05,21,21,0
P09,21,21,0
P63,21,21,0
P14,19,19,0
P48,21,21,0
P61,21,21,0
P33,21,21,0
P23,21,21,0
P60,19,19,0
P31,21,21,0
P37,21,21,0
P54,21,21,0
P07,21,21,0
P49,21,21,0
P35,21,21,0
P20,21,21,0
P66,21,21,0
P42,21,21,0
P34,21,21,0
P30,11,11,0
P55,20,20,0
P64,20,20,0
P02,19,19,0
P39,19,19,0
P58,21,21,0
P19,15,15,0
P01,21,21,0
P65,21,21,0
P29,21,21,0
P24,17,17,0
P41,19,19,0
P04,21,21,0
P28,21,21,0
P06,21,21,0
P45,19,19,0
P47,18,18,0
P26,21,21,0
P51,21,21,0
P15,21,21,0
P67,21,21,0
P59,20,20,0
P50,21,21,0
P27,19,19,0
P56,21,21,0
P52,21,21,0
P69,21,21,0
P25,21,21,0
P22,21,21,0
P36,21,21,0
P13,21,21,0
P46,21,21,0
P68,21,21,0
P08,21,21,0
P62,19,19,0
P38,21,21,0
P53,19,19,0
P17,21,21,0
P16,21,21,0
P10,21,21,0
P32,19,19,0
