subject_id,event_index,marker,roi,motion_correction,hpf,baseline_m10_0,response_minus_baseline_m5_30,n_channels,diff_xdead,n_live
P01,1,M3,Left_Temporal,none,0,0.43602154639071616,-2.6790946477956214e-2,4,-0.053308599682401661,2
P01,1,M3,PFC_Frontal,none,0,1.2843136951768606,-0.87479845620057106,13,-0.87479845620057106,13
P01,1,M3,Right_Temporal,none,0,2.32097464486238,-0.13345889763133653,4,-0.26700634645818255,2
P01,2,M4,Left_Temporal,none,0,0.34076511840368728,-2.0563098748500702e-2,4,-0.040936953798017331,2
P01,2,M4,PFC_Frontal,none,0,2.4276098226755543,-0.78668993750381999,13,-0.78668993750381999,13
P01,2,M4,Right_Temporal,none,0,2.4730529337194795,-5.085172091852481e-2,4,-0.10173861586916053,2
P01,3,M5,Left_Temporal,none,0,0.25164631858534681,-1.5101561134326031e-2,4,-2.8771083452735902e-2,2
P01,3,M5,PFC_Frontal,none,0,1.2029747940880833,-0.68571655226005035,13,-0.68571655226005035,13
P01,3,M5,Right_Temporal,none,0,2.2471852162029587e0,-0.12566612179624631,4,-0.25037400700984558,2
P01,4,M6,Left_Temporal,none,0,0.16923316501727656,-8.778208430443322e-3,4,-1.7265963817391126e-2,2
P01,4,M6,PFC_Frontal,none,0,1.6233810849962036,-7.971311769904689e-1,13,-7.971311769904689e-1,13
P01,4,M6,Right_Temporal,none,0,2.1922708789315455,-1.0131611124515138e-1,4,-0.20153512636824072,2
P01,5,M5,Left_Temporal,none,0,5.116620629067724e-2,-1.2549642262004947e-2,4,-2.4700202774536995e-2,2
P01,5,M5,PFC_Frontal,none,0,0.32559530583400942,-0.72726869059804977,13,-0.72726869059804977,13
P01,5,M5,Right_Temporal,none,0,2.0010027078946187e0,-4.055467769530457e-2,4,-0.081596101853764452,2
P01,6,M3,Left_Temporal,none,0,-6.7489011643872540e-3,-1.5894920036406123e-2,4,-0.032347495684405161,2
P01,6,M3,PFC_Frontal,none,0,0.14991553643111585,-0.31499290591084883,13,-0.31499290591084883,13
P01,6,M3,Right_Temporal,none,0,1.9709715391019933,-2.0105370685668422e-2,4,-4.0092888174734069e-2,2
P01,7,M6,Left_Temporal,none,0,-6.341880072893362e-2,-0.01379848268777467,4,-2.7660738640513971e-2,2
P01,7,M6,PFC_Frontal,none,0,1.1264748105786642,-1.3505038638359422e0,13,-1.3505038638359422e0,13
P01,7,M6,Right_Temporal,none,0,2.0929597025542281,-0.28946466000461651,4,-0.57895829898674411,2
P01,8,M4,Left_Temporal,none,0,-1.1451283639226246e-1,-0.01149493735254134,4,-2.291755006166231e-2,2
P01,8,M4,PFC_Frontal,none,0,0.58191107820092913,0.32074981385476464,13,0.32074981385476464,13
P01,8,M4,Right_Temporal,none,0,2.011677433527378e0,5.6563002028383340e-2,4,0.10993958957618193,2
P01,9,M4,Left_Temporal,none,0,-0.1953588363233226,-9.372130517875023e-3,4,-1.9374999035570723e-2,2
P01,9,M4,PFC_Frontal,none,0,0.26531386102058113,-0.3773091829078199,13,-0.3773091829078199,13
P01,9,M4,Right_Temporal,none,0,-2.9475862385679985,1.0485181540846118e-2,4,0.039490031210046211,2
P01,10,M6,Left_Temporal,none,0,-0.23259506225638221,-9.333953594537502e-3,4,-1.772263339578991e-2,2
P01,10,M6,PFC_Frontal,none,0,-0.38685384027669978,-0.080974600077912823,13,-0.080974600077912823,13
P01,10,M6,Right_Temporal,none,0,-3.0617658783399779,6.767631746093539e-3,4,2.1705573729695822e-2,2
P01,11,M5,Left_Temporal,none,0,-0.26878205491428486,-5.320397471158044e-3,4,-0.01007043073102957,2
P01,11,M5,PFC_Frontal,none,0,-2.2752144530767286,1.2261427417381426e0,13,1.2261427417381426e0,13
P01,11,M5,Right_Temporal,none,0,-3.500912995529649,0.3262949483558833,4,0.66268033817635152,2
P01,12,M3,Left_Temporal,none,0,-0.29898126144622661,-6.295101113048720e-3,4,-1.24013696100989528e-2,2
P01,12,M3,PFC_Frontal,none,0,-2.287932419442912,-0.096517589177462823,13,-0.096517589177462823,13
P01,12,M3,Right_Temporal,none,0,-3.5072961366642827,5.802439936639791e-2,4,0.13608858615082123,2
P02,1,M5,Left_Temporal,none,0,0.33677966313058744,-7.910915963893997e-2,4,-0.15833844637866576,2
P02,1,M5,PFC_Frontal,none,0,1.5480522158123324,-0.69516118906021207,11,-0.69516118906021207,11
P02,1,M5,Right_Temporal,none,0,2.9703386069594893,-7.995101953222852e-1,4,-1.5988047219603936,2
P02,2,M3,Left_Temporal,none,0,0.06247502272415166,-0.05917421680910926,4,-1.18376674180263704e-1,2
P02,2,M3,PFC_Frontal,none,0,0.22991151893814413,-0.12232742685014047,11,-0.12232742685014047,11
P02,2,M3,Right_Temporal,none,0,2.1167511301735646,-0.13294984459177336,4,-0.26591147851830321,2
P02,3,M6,Left_Temporal,none,0,3.4344170576791923e-3,-2.4965448494612811e-2,4,-5.04229465370058017e-2,2
P02,3,M6,PFC_Frontal,none,0,0.50843518520226871,-0.14929045180115116,11,-0.14929045180115116,11
P02,3,M6,Right_Temporal,none,0,2.2717984034377223,-0.0735822564159892,4,-0.14735386182837168,2
P02,4,M4,Left_Temporal,none,0,1.4352963176591775e-2,-0.075782914457970751,4,-0.15133082853266699,2
P02,4,M4,PFC_Frontal,none,0,0.56265994242025585,-0.28531008094395549,11,-0.28531008094395549,11
P02,4,M4,Right_Temporal,none,0,2.4574038223395755e0,-0.21363868712143541,4,-4.27193546200419105e-1,2
P02,5,M4,Left_Temporal,none,0,-0.037518643999769202,-0.02042243987081914,4,-0.041056270723818233,2
P02,5,M4,PFC_Frontal,none,0,-0.54649122861487243,-0.16001929337729673,11,-0.16001929337729673,11
P02,5,M4,Right_Temporal,none,0,1.1333183370814719,-0.32149704278771962,4,-0.64300062982436934,2
P02,6,M6,Left_Temporal,none,0,-1.06103722622437560e-1,5.251466510867646e-2,4,0.1049193323085242,2
P02,6,M6,PFC_Frontal,none,0,-0.88828942659563637,4.132429891268595e-1,11,4.132429891268595e-1,11
P02,6,M6,Right_Temporal,none,0,4.94151285148838240e-1,0.27218261418066919,4,0.54429178761402486,2
P02,7,M5,Left_Temporal,none,0,0.02278032914148713,2.5305516477893155e-2,4,0.050868336270460723,2
P02,7,M5,PFC_Frontal,none,0,7.823823935451889e-2,0.36967984082820105,11,0.36967984082820105,11
P02,7,M5,Right_Temporal,none,0,1.3986567423540966e0,0.38964492342569734,4,0.77931969980077809,2
P02,8,M3,Left_Temporal,none,0,0.066239475939326706,-1.6475089911302551e-2,4,-0.032673216191249951,2
P02,8,M3,PFC_Frontal,none,0,0.88872146741512015,0.16244665857902998,11,0.16244665857902998,11
P02,8,M3,Right_Temporal,none,0,1.806905791231350000e0,0.33605444565283626,4,0.67229145983492855,2
P02,9,M3,Left_Temporal,none,0,-2.14987693692746000e-2,-1.8086401491680550e-2,4,-3.556186262505768e-2,2
P02,9,M3,PFC_Frontal,none,0,-0.60069318873890787,-0.13455996339515364,11,-0.13455996339515364,11
P02,9,M3,Right_Temporal,none,0,-1.97773175347098449e0,-0.23187025655625831,4,-0.46386722805318414,2
P02,10,M4,Left_Temporal,none,0,-2.015206635269791e-2,-1.96011136937143441e-2,4,-3.934623971129818e-2,2
P02,10,M4,PFC_Frontal,none,0,-0.68460877881662296,2.870343121246493e-2,11,2.870343121246493e-2,11
P02,10,M4,Right_Temporal,none,0,-2.3747528075121767,1.283500715474663e-2,4,0.025622419161692531,2
P02,11,M5,Left_Temporal,none,0,-0.024826945859442371,-4.1249507069957973e-2,4,-0.081742406524416195,2
P02,11,M5,PFC_Frontal,none,0,-0.43637635445087342,-0.21787596571813345,11,-0.21787596571813345,11
P02,11,M5,Right_Temporal,none,0,-2.5402287222145525,-5.0246472144720549e-2,4,-1.003680496185067e-1,2
P02,12,M6,Left_Temporal,none,0,3.6863564950477541e-2,-0.05216770793667691,4,-0.10392046182303843,2
P02,12,M6,PFC_Frontal,none,0,0.1790881956706511,-0.17406667278942592,11,-0.17406667278942592,11
P02,12,M6,Right_Temporal,none,0,-2.5364194831795004,-0.15821348732803464,4,-0.31667628458044583,2
P03,1,M5,Left_Temporal,none,0,0.23088197516860837,-0.14027127945971385,4,-0.28044547914507478,2
P03,1,M5,PFC_Frontal,none,0,3.910150278798274e-1,-0.24013689788113379,13,-0.24013689788113379,13
P03,1,M5,Right_Temporal,none,0,0.87007279816856165,-0.069024686583172401,3,-0.10346071862481282,2
P03,2,M3,Left_Temporal,none,0,-5.054163698234656e-3,-1.9424150848459443e-3,4,-3.960034625387583e-3,2
P03,2,M3,PFC_Frontal,none,0,-0.37762075596053135,0.13370346401241104,13,0.13370346401241104,13
P03,2,M3,Right_Temporal,none,0,0.40723167918126657,0.071278191713560174,3,0.10688312327922844,2
P03,3,M6,Left_Temporal,none,0,0.24791776410308347,0.073222561162572614,4,0.14657794150336259,2
P03,3,M6,PFC_Frontal,none,0,0.15707012929914871,1.00427628128260265e-1,13,1.00427628128260265e-1,13
P03,3,M6,Right_Temporal,none,0,0.47479243495832929,1.080349768460940000e-1,3,0.16210054749764138,2
P03,4,M4,Left_Temporal,none,0,0.34681141272232852,-0.24579604260301963,4,-0.4903789373017084,2
P03,4,M4,PFC_Frontal,none,0,0.26220121812078084,-1.0158803460543204,13,-1.0158803460543204,13
P03,4,M4,Right_Temporal,none,0,0.37612075189972077,-0.17848100401359554,3,-0.2676852471891305,2
P03,5,M3,Left_Temporal,none,0,2.06268584519531056e-1,-9.7567978007343400e-2,4,-0.19486873356723111,2
P03,5,M3,PFC_Frontal,none,0,-0.28684655243012824,0.30110239440860725,13,0.30110239440860725,13
P03,5,M3,Right_Temporal,none,0,0.25457534998402553,0.12709731177240288,3,0.19069327819884624,2
P03,6,M4,Left_Temporal,none,0,-2.11520633883174448e-1,1.07991000144974857e-1,4,0.21613342351045783,2
P03,6,M4,PFC_Frontal,none,0,3.98639178391916705e-1,5.370901719035569e-2,13,5.370901719035569e-2,13
P03,6,M4,Right_Temporal,none,0,0.17686731086319071,0.086073424443317531,3,0.12924907018728268,2
P03,7,M5,Left_Temporal,none,0,0.084306629867965083,-0.25657192794737094,4,-0.51336025096621529,2
P03,7,M5,PFC_Frontal,none,0,-0.13737643890969317,-0.25688995054873204,13,-0.25688995054873204,13
P03,7,M5,Right_Temporal,none,0,0.31667860962656558,-0.28027892345804395,3,-0.42066990798027121,2
P03,8,M6,Left_Temporal,none,0,0.86038336455616948,-0.51288356182097483,4,-1.0260746202675333,2
P03,8,M6,PFC_Frontal,none,0,2.3104553503268814,-1.941868127548981e0,13,-1.941868127548981e0,13
P03,8,M6,Right_Temporal,none,0,-0.26821043493898922,-2.1207657285965235e-2,3,-3.187653120571478e-2,2
