subject_id,event_index,sequence,sequence_position,marker,quadrant,onset_sec,channel_index,active_pair,chromophore,baseline_m10_0,stim_m0_30,response_m5_30,response_minus_baseline_m5_30
P40,1,S1,1,M3,Q1,62.3,1,1,HbO,6.0769553378185895e-09,-6.897933216046311e-08,-8.933765855484092e-08,-9.541461389265951e-08
P40,1,S1,1,M3,Q1,62.3,1,1,HbR,5.963251893954979e-08,-4.912627880196138e-08,-9.454316119166228e-08,-1.5417568013121207e-07
P40,1,S1,1,M3,Q1,62.3,1,1,HbT,6.57094742773684e-08,-1.1810561096242447e-07,-1.8388081974650327e-07,-2.4959029402387167e-07
P40,1,S1,1,M3,Q1,62.3,2,1,HbO,4.690372743262911e-07,-6.175971758970612e-08,-1.172234326059484e-07,-5.862607069322395e-07
P40,1,S1,1,M3,Q1,62.3,2,1,HbR,-3.1405481129457965e-07,-4.9946914824543775e-08,-5.748097709047818e-08,2.565738342041015e-07
P40,1,S1,1,M3,Q1,62.3,2,1,HbT,1.549824630317115e-07,-1.1170663241424984e-07,-1.7470440969642634e-07,-3.296868727281378e-07
P40,1,S1,1,M3,Q1,62.3,3,1,HbO,-4.38163037272558e-08,6.093371068935841e-08,4.915809271542802e-08,9.297439644268383e-08
P40,1,S1,1,M3,Q1,62.3,3,1,HbR,2.6266620179772053e-07,-3.5946217333791414e-08,-8.235099135739708e-08,-3.450171931551176e-07
P40,1,S1,1,M3,Q1,62.3,3,1,HbT,2.1884989807046491e-07,2.4987493355566944e-08,-3.319289864196892e-08,-2.5204279671243386e-07
P40,1,S1,1,M3,Q1,62.3,4,1,HbO,-8.129256450829978e-08,-1.4583672577165977e-07,-1.8186637555517311e-07,-1.0057381104687333e-07
P40,1,S1,1,M3,Q1,62.3,4,1,HbR,-2.0166031824248585e-07,8.450615150350519e-08,1.2049607259893334e-07,3.221563908414192e-07
P40,1,S1,1,M3,Q1,62.3,4,1,HbT,-2.8295288275078555e-07,-6.13305742681547e-08,-6.137030295623999e-08,2.2158257979454556e-07
P40,1,S1,1,M3,Q1,62.3,5,1,HbO,1.2114703214832767e-07,-1.918008900506439e-08,1.4140053572036112e-08,-1.0700697857629156e-07
P40,1,S1,1,M3,Q1,62.3,5,1,HbR,1.0094852197590145e-08,-5.520592844074076e-08,-6.292486585604216e-08,-7.301971805363231e-08
P40,1,S1,1,M3,Q1,62.3,5,1,HbT,1.3124188434591778e-07,-7.438601744580508e-08,-4.8784812284005994e-08,-1.8002669662992378e-07
P40,1,S1,1,M3,Q1,62.3,6,0,HbO,-3.699381407997367e-07,-7.98644994495608e-09,3.403417834541889e-08,4.039723191451556e-07
P40,1,S1,1,M3,Q1,62.3,6,0,HbR,2.4836714818683903e-07,7.348967550350306e-08,6.040827708800608e-08,-1.8795887109883295e-07
P40,1,S1,1,M3,Q1,62.3,6,0,HbT,-1.2157099261289758e-07,6.55032255585469e-08,9.444245543342515e-08,2.1601344804632272e-07
P40,1,S1,1,M3,Q1,62.3,7,1,HbO,1.2309366072411979e-08,-2.1513303113889438e-07,-2.064972184346751e-07,-2.1880658450708708e-07
P40,1,S1,1,M3,Q1,62.3,7,1,HbR,7.998559312251887e-08,-2.685919129994462e-08,-4.8145823472637165e-08,-1.2813141659515603e-07
P40,1,S1,1,M3,Q1,62.3,7,1,HbT,9.229495919493087e-08,-2.4199222243883906e-07,-2.546430419073124e-07,-3.4693800110224324e-07
P40,1,S1,1,M3,Q1,62.3,8,1,HbO,-1.2679246691461708e-07,-6.14002870612918e-08,9.796899815415114e-09,1.365893667300322e-07
P40,1,S1,1,M3,Q1,62.3,8,1,HbR,-1.1031535985233748e-07,1.3471152827578314e-08,2.9938820827765935e-08,1.4025418068010342e-07
P40,1,S1,1,M3,Q1,62.3,8,1,HbT,-2.371078267669546e-07,-4.792913423371346e-08,3.9735720643181064e-08,2.7684354741013567e-07
P40,1,S1,1,M3,Q1,62.3,9,1,HbO,-2.4912301205558264e-07,-2.311870425293126e-07,-1.3514381045273014e-07,1.1397920160285249e-07
P40,1,S1,1,M3,Q1,62.3,9,1,HbR,7.732926639997576e-08,5.521179419424401e-08,5.752645341317146e-08,-1.9802812986804304e-08
P40,1,S1,1,M3,Q1,62.3,9,1,HbT,-1.7179374565560685e-07,-1.7597524833506864e-07,-7.761735703955896e-08,9.417638861604788e-08
P40,1,S1,1,M3,Q1,62.3,10,1,HbO,5.539652015782526e-08,-2.952884681373376e-07,-2.8593181155379557e-07,-3.4132833171162084e-07
P40,1,S1,1,M3,Q1,62.3,10,1,HbR,-3.4815899645038456e-08,-5.786868736053675e-09,6.203908592038507e-09,4.101980823707696e-08
P40,1,S1,1,M3,Q1,62.3,10,1,HbT,2.05806205127868e-08,-3.0107533687339146e-07,-2.7972790296175725e-07,-3.003085234745441e-07
P40,1,S1,1,M3,Q1,62.3,11,1,HbO,-2.3310280300373665e-07,-1.2995070198402843e-07,-6.694572354992726e-08,1.6615707945380938e-07
P40,1,S1,1,M3,Q1,62.3,11,1,HbR,2.1568685269397238e-07,4.22430313532688e-08,2.9860091524094354e-08,-1.8582676116987804e-07
P40,1,S1,1,M3,Q1,62.3,11,1,HbT,-1.741595030976442e-08,-8.770767063075967e-08,-3.708563202583294e-08,-1.9669681716068516e-08
P40,1,S1,1,M3,Q1,62.3,12,1,HbO,-2.4155732261877554e-07,-1.3246976390716372e-07,-7.993264019253814e-08,1.6162468242623739e-07
P40,1,S1,1,M3,Q1,62.3,12,1,HbR,-4.49768572963936e-08,5.929455561080206e-08,6.029455055486292e-08,1.0527140785125652e-07
P40,1,S1,1,M3,Q1,62.3,12,1,HbT,-2.865341799151692e-07,-7.317520829636184e-08,-1.963808963767517e-08,2.66896090277494e-07
P40,1,S1,1,M3,Q1,62.3,13,0,HbO,3.6521114846928374e-07,1.3025028705655552e-07,1.5514492864174068e-07,-2.1006621982754306e-07
P40,1,S1,1,M3,Q1,62.3,13,0,HbR,-1.3467792015165904e-07,-1.0297659224221561e-07,-1.1864165443557401e-07,1.6036265716085022e-08
P40,1,S1,1,M3,Q1,62.3,13,0,HbT,2.3053322831762438e-07,2.7273694814339866e-08,3.650327420616673e-08,-1.9402995411145767e-07
P40,1,S1,1,M3,Q1,62.3,14,1,HbO,1.3746175639793018e-08,-2.2819800392652212e-07,-2.263126499522445e-07,-2.400588255920375e-07
P40,1,S1,1,M3,Q1,62.3,14,1,HbR,-9.940374388271148e-09,1.4126623397041364e-08,1.8094270820152462e-08,2.803464520842361e-08
P40,1,S1,1,M3,Q1,62.3,14,1,HbT,3.805801251521846e-09,-2.1407138052948086e-07,-2.082183791320921e-07,-2.1202418038361395e-07
P40,1,S1,1,M3,Q1,62.3,15,1,HbO,1.0219764078837425e-07,-1.0735413034334771e-07,-1.0580411725232532e-07,-2.0800175804069957e-07
P40,1,S1,1,M3,Q1,62.3,15,1,HbR,-1.0771616540175025e-07,-1.7389695844028082e-08,-8.767889740625706e-09,9.894827566112455e-08
P40,1,S1,1,M3,Q1,62.3,15,1,HbT,-5.518524613375983e-09,-1.2474382618737565e-07,-1.14572006992951e-07,-1.0905348237957502e-07
P40,1,S1,1,M3,Q1,62.3,16,1,HbO,1.379983277539561e-07,-2.4289237293562088e-08,-2.500123109290155e-08,-1.6299955884685767e-07
P40,1,S1,1,M3,Q1,62.3,16,1,HbR,-8.071881792219782e-09,-2.17300214906824e-08,-3.5943643949506215e-08,-2.787176215728643e-08
P40,1,S1,1,M3,Q1,62.3,16,1,HbT,1.2992644596173634e-07,-4.6019258784244505e-08,-6.094487504240778e-08,-1.9087132100414412e-07
P40,1,S1,1,M3,Q1,62.3,17,1,HbO,-3.185248985179041e-08,-3.456150695730022e-09,-2.055894316105999e-09,2.9796595535684407e-08
P40,1,S1,1,M3,Q1,62.3,17,1,HbR,7.55028663848605e-08,-1.689902746546563e-08,-1.720302780529671e-08,-9.270589419015721e-08
P40,1,S1,1,M3,Q1,62.3,17,1,HbT,4.365037653307006e-08,-2.0355178161195657e-08,-1.925892212140271e-08,-6.290929865447277e-08
P40,1,S1,1,M3,Q1,62.3,18,1,HbO,-2.480395797384269e-10,-8.570645075445145e-11,7.582049521757847e-12,2.5562162926018477e-10
P40,1,S1,1,M3,Q1,62.3,18,1,HbR,-9.400817316248685e-10,-2.4123299609907577e-10,-1.3187848782877368e-10,8.082032437960948e-10
P40,1,S1,1,M3,Q1,62.3,18,1,HbT,-1.1881213113632953e-09,-3.2693944685352664e-10,-1.2429643830701584e-10,1.0638248730562795e-09
P40,1,S1,1,M3,Q1,62.3,19,1,HbO,-3.2721985822226833e-10,3.790126927927922e-12,1.813513191336398e-11,3.4535499013563234e-10
P40,1,S1,1,M3,Q1,62.3,19,1,HbR,-4.5730790751338614e-10,-1.288113338030346e-10,-2.5177399760409054e-11,4.321305077529771e-10
P40,1,S1,1,M3,Q1,62.3,19,1,HbT,-7.845277657356545e-10,-1.2502120687510654e-10,-7.042267847044909e-12,7.774854978886096e-10
P40,1,S1,1,M3,Q1,62.3,20,1,HbO,-8.04631801072289e-11,3.3854441728995504e-11,4.111682754186075e-11,1.2158000764908965e-10
P40,1,S1,1,M3,Q1,62.3,20,1,HbR,-1.2597013421878313e-11,-5.149327619645022e-11,-5.90590045941177e-11,-4.6461991172239385e-11
P40,1,S1,1,M3,Q1,62.3,20,1,HbT,-9.306019352910724e-11,-1.763883446745458e-11,-1.7942177052256836e-11,7.51180164768504e-11
P40,1,S1,1,M3,Q1,62.3,21,1,HbO,-1.4216896911896453e-10,6.597407210734289e-12,1.0184271606493262e-11,1.523532407254578e-10
P40,1,S1,1,M3,Q1,62.3,21,1,HbR,1.803923554306189e-10,3.085926375126684e-11,3.456927512072282e-11,-1.458230803098961e-10
P40,1,S1,1,M3,Q1,62.3,21,1,HbT,3.8223386311654366e-11,3.7456670962001116e-11,4.475354672721604e-11,6.530160415561676e-12
P40,1,S1,1,M3,Q1,62.3,22,1,HbO,5.611001630310102e-07,1.1722715555547485e-07,7.30819255042683e-08,-4.880182375267418e-07
P40,1,S1,1,M3,Q1,62.3,22,1,HbR,-3.83432991891168e-07,-1.3606593114326552e-07,-1.0945438697725347e-07,2.7397860491391455e-07
P40,1,S1,1,M3,Q1,62.3,22,1,HbT,1.7766717113984205e-07,-1.8838775587790843e-08,-3.6372461472985436e-08,-2.1403963261282748e-07
P40,1,S1,1,M3,Q1,62.3,23,1,HbO,-1.9106495047753015e-07,6.129603361835948e-08,8.007391283907776e-08,2.7113886331660793e-07
P40,1,S1,1,M3,Q1,62.3,23,1,HbR,3.531106081242158e-07,4.949850912102095e-08,1.8322448933447772e-08,-3.34788159190768e-07
P40,1,S1,1,M3,Q1,62.3,23,1,HbT,1.620456576466853e-07,1.1079454273938017e-07,9.839636177252524e-08,-6.364929587416005e-08
P40,2,S1,2,M4,Q2,151.1,1,1,HbO,8.947599961383776e-09,2.724487252140596e-08,3.890859819041423e-08,2.9960998229030455e-08
P40,2,S1,2,M4,Q2,151.1,1,1,HbR,4.418013949638661e-08,-3.677924949782056e-08,-1.9878975214496397e-08,-6.405911471088301e-08
P40,2,S1,2,M4,Q2,151.1,1,1,HbT,5.3127739457770344e-08,-9.534376976414553e-09,1.9029622975917852e-08,-3.4098116481852496e-08
P40,2,S1,2,M4,Q2,151.1,2,1,HbO,1.0819539897125488e-07,-7.215642393152181e-08,-9.201903432041418e-08,-2.0021443329166908e-07
P40,2,S1,2,M4,Q2,151.1,2,1,HbR,-1.2642166569957718e-07,1.565085075924334e-08,-5.641512799189284e-09,1.207801529003879e-07
P40,2,S1,2,M4,Q2,151.1,2,1,HbT,-1.8226266728322205e-08,-5.6505573172278484e-08,-9.766054711960352e-08,-7.943428039128132e-08
P40,2,S1,2,M4,Q2,151.1,3,1,HbO,5.350974270283491e-08,-1.7839702111103876e-08,-7.210865605439985e-09,-6.07206083082749e-08
P40,2,S1,2,M4,Q2,151.1,3,1,HbR,9.013549294802845e-08,-4.284488290301988e-08,-4.4866125955819364e-08,-1.350016189038478e-07
P40,2,S1,2,M4,Q2,151.1,3,1,HbT,1.4364523565086334e-07,-6.068458501412374e-08,-5.207699156125939e-08,-1.957222272121227e-07
P40,2,S1,2,M4,Q2,151.1,4,1,HbO,-5.7283814111109744e-08,-4.031708008312396e-08,-1.0481996945937149e-07,-4.753615534826174e-08
P40,2,S1,2,M4,Q2,151.1,4,1,HbR,-6.7446153584285014e-09,3.303786677013747e-08,6.836234887616277e-08,7.510696423459127e-08
P40,2,S1,2,M4,Q2,151.1,4,1,HbT,-6.402842946953823e-08,-7.279213312986481e-09,-3.6457620583208666e-08,2.757080888632956e-08
P40,2,S1,2,M4,Q2,151.1,5,1,HbO,2.0529102737580385e-07,-7.7960321706874e-08,-8.231737993338555e-08,-2.876084073091894e-07
P40,2,S1,2,M4,Q2,151.1,5,1,HbR,-5.0047854312631264e-08,-3.423074214205841e-08,-3.932931511354224e-08,1.0718539199089026e-08
P40,2,S1,2,M4,Q2,151.1,5,1,HbT,1.5524317306317254e-07,-1.1219106384893233e-07,-1.2164669504692783e-07,-2.7688986811010034e-07
P40,2,S1,2,M4,Q2,151.1,6,0,HbO,-8.586961113398932e-08,3.4333239624274334e-08,4.873652147883936e-08,1.3460613261282867e-07
P40,2,S1,2,M4,Q2,151.1,6,0,HbR,1.1384992011672287e-07,-2.5792416318039366e-08,-1.2177766839520441e-08,-1.260276869562433e-07
P40,2,S1,2,M4,Q2,151.1,6,0,HbT,2.7980308982733623e-08,8.54082330623499e-09,3.6558754639318926e-08,8.578445656585304e-09
P40,2,S1,2,M4,Q2,151.1,7,1,HbO,3.9584881591686497e-07,-2.3723466570392509e-07,-2.3823970531421488e-07,-6.340885212310799e-07
P40,2,S1,2,M4,Q2,151.1,7,1,HbR,-2.5610780016554256e-08,-2.3084269586403186e-08,-2.400658093633992e-08,1.6041990802143373e-09
P40,2,S1,2,M4,Q2,151.1,7,1,HbT,3.7023803590031093e-07,-2.6031893529032874e-07,-2.6224628625055503e-07,-6.32484322150866e-07
P40,2,S1,2,M4,Q2,151.1,8,1,HbO,2.379171160062508e-07,-7.916312008293135e-08,-7.988625019913511e-08,-3.1780336620538594e-07
P40,2,S1,2,M4,Q2,151.1,8,1,HbR,-6.14916439717586e-08,-2.893285374231337e-08,-3.023200260281062e-08,3.1259641368947975e-08
